time_iso8601,forks_cumulative
2025-02-02 00:00:00+00:00,42722
2025-02-03 00:00:00+00:00,42731
2025-02-04 00:00:00+00:00,42746
2025-02-05 00:00:00+00:00,42760
2025-02-06 00:00:00+00:00,42775
2025-02-07 00:00:00+00:00,42794
2025-02-08 00:00:00+00:00,42811
2025-02-09 00:00:00+00:00,42826
2025-02-10 00:00:00+00:00,42845
2025-02-11 00:00:00+00:00,42857
2025-02-12 00:00:00+00:00,42873
2025-02-13 00:00:00+00:00,42882
2025-02-14 00:00:00+00:00,42891
2025-02-15 00:00:00+00:00,42898
2025-02-16 00:00:00+00:00,42914
2025-02-17 00:00:00+00:00,42929
2025-02-18 00:00:00+00:00,42948
2025-02-19 00:00:00+00:00,42964
2025-02-20 00:00:00+00:00,42975
2025-02-21 00:00:00+00:00,42990
2025-02-22 00:00:00+00:00,42999
2025-02-23 00:00:00+00:00,43011
2025-02-24 00:00:00+00:00,43023
2025-02-25 00:00:00+00:00,43043
2025-02-26 00:00:00+00:00,43056
2025-02-27 00:00:00+00:00,43080
2025-02-28 00:00:00+00:00,43098
2025-03-01 00:00:00+00:00,43108
2025-03-02 00:00:00+00:00,43118
2025-03-03 00:00:00+00:00,43126
2025-03-04 00:00:00+00:00,43137
2025-03-05 00:00:00+00:00,43149
2025-03-06 00:00:00+00:00,43161
2025-03-07 00:00:00+00:00,43182
2025-03-08 00:00:00+00:00,43206
2025-03-09 00:00:00+00:00,43228
2025-03-10 00:00:00+00:00,43258
2025-03-11 00:00:00+00:00,43275
2025-03-12 00:00:00+00:00,43294
2025-03-13 00:00:00+00:00,43319
2025-03-14 00:00:00+00:00,43343
2025-03-15 00:00:00+00:00,43352
2025-03-16 00:00:00+00:00,43365
2025-03-17 00:00:00+00:00,43383
2025-03-18 00:00:00+00:00,43395
2025-03-19 00:00:00+00:00,43412
2025-03-20 00:00:00+00:00,43434
2025-03-21 00:00:00+00:00,43449
2025-03-22 00:00:00+00:00,43457
2025-03-23 00:00:00+00:00,43470
2025-03-24 00:00:00+00:00,43492
2025-03-25 00:00:00+00:00,43502
2025-03-26 00:00:00+00:00,43516
2025-03-27 00:00:00+00:00,43530
2025-03-28 00:00:00+00:00,43543
2025-03-29 00:00:00+00:00,43558
2025-03-30 00:00:00+00:00,43569
2025-03-31 00:00:00+00:00,43578
2025-04-01 00:00:00+00:00,43591
2025-04-02 00:00:00+00:00,43601
2025-04-03 00:00:00+00:00,43609
2025-04-04 00:00:00+00:00,43626
2025-04-05 00:00:00+00:00,43633
2025-04-06 00:00:00+00:00,43642
2025-04-07 00:00:00+00:00,43655
2025-04-08 00:00:00+00:00,43662
2025-04-09 00:00:00+00:00,43670
2025-04-10 00:00:00+00:00,43680
2025-04-11 00:00:00+00:00,43689
2025-04-12 00:00:00+00:00,43694
2025-04-13 00:00:00+00:00,43703
2025-04-14 00:00:00+00:00,43716
2025-04-15 00:00:00+00:00,43723
2025-04-16 00:00:00+00:00,43737
2025-04-17 00:00:00+00:00,43748
2025-04-18 00:00:00+00:00,43753
2025-04-19 00:00:00+00:00,43765
2025-04-20 00:00:00+00:00,43775
2025-04-21 00:00:00+00:00,43789
2025-04-22 00:00:00+00:00,43801
2025-04-23 00:00:00+00:00,43814
2025-04-24 00:00:00+00:00,43824
2025-04-25 00:00:00+00:00,43834
2025-04-26 00:00:00+00:00,43840
2025-04-27 00:00:00+00:00,43852
2025-04-28 00:00:00+00:00,43859
2025-04-29 00:00:00+00:00,43874
2025-04-30 00:00:00+00:00,43884
2025-05-01 00:00:00+00:00,43887
2025-05-02 00:00:00+00:00,43891
2025-05-03 00:00:00+00:00,43904
2025-05-04 00:00:00+00:00,43914
2025-05-05 00:00:00+00:00,43927
2025-05-06 00:00:00+00:00,43933
2025-05-07 00:00:00+00:00,43943
2025-05-08 00:00:00+00:00,43951
2025-05-09 00:00:00+00:00,43959
2025-05-10 00:00:00+00:00,43965
2025-05-11 00:00:00+00:00,43971
2025-05-12 00:00:00+00:00,43975
2025-05-13 00:00:00+00:00,43990
2025-05-14 00:00:00+00:00,43997
2025-05-15 00:00:00+00:00,44005
2025-05-16 00:00:00+00:00,44015
2025-05-17 00:00:00+00:00,44020
2025-05-18 00:00:00+00:00,44027
2025-05-19 00:00:00+00:00,44036
2025-05-20 00:00:00+00:00,44043
2025-05-21 00:00:00+00:00,44052
2025-05-22 00:00:00+00:00,44060
2025-05-23 00:00:00+00:00,44071
2025-05-24 00:00:00+00:00,44075
2025-05-25 00:00:00+00:00,44078
2025-05-26 00:00:00+00:00,44088
2025-05-27 00:00:00+00:00,44099
2025-05-28 00:00:00+00:00,44104
2025-05-29 00:00:00+00:00,44114
2025-05-30 00:00:00+00:00,44120
2025-05-31 00:00:00+00:00,44129
2025-06-01 00:00:00+00:00,44139
2025-06-02 00:00:00+00:00,44151
